Title,Title_URL,Artist Name,Artist Link,Duration,Genre,Mood,Movement,Theme,Other keywords,Other keywords.1
Once In Paris,https://pixabay.com/music/beats-once-in-paris-168895/,Pumpupthemind,https://pixabay.com/users/pumpupthemind-19969411/,2:12,Beats Electronic Alternative Hip Hop Rnb Cafe,Glamorous Dreamy Laid Back Bright Relaxing Romantic,Elegant Floating Smooth Medium,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,"advertising
atmospheric",advertising atmospheric beat calm calming chill chillout coffee commercial cooking fashion food hip hop hip-hop hiphop lifestyle lo-fi lofi radio relax relaxing soft street tutorial video
Good Night,https://pixabay.com/music/beats-good-night-160166/,FASSounds,https://pixabay.com/users/fassounds-3433550/,2:27,Beats Electronic Alternative Hip Hop Rnb Cafe,Glamorous Dreamy Laid Back Bright Relaxing Romantic Uplifting,Floating Smooth Elegant Medium,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,"advertising
chill",advertising chill commercial cozy lofi edm electro fashion festival hip-hop hiphop hype lo fi lofi lounge powerful rap romantic sexy shout spring trap travel urban vlog woman
Lofi Study,https://pixabay.com/music/beats-lofi-study-112191/,FASSounds,https://pixabay.com/users/fassounds-3433550/,2:27,Beats Alternative Hip Hop Rnb Electronic Cafe,Laid Back Bright Glamorous Relaxing Romantic Sexy Dreamy,Smooth Elegant Floating Medium,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,"beat
carefree
chill",beat carefree chill contemplative cool cozy easy fashion gentle instagram jazzy laid back lo-fi lofi loop meditative peaceful relaxing sensual serene slideshow slow focus study rain
TVARI - Tokyo Cafe,https://pixabay.com/music/beats-tvari-tokyo-cafe-159065/,TVARI,https://pixabay.com/users/tvari-38302100/,2:33,Beats Electronic Alternative Hip Hop Rnb Cafe,Uplifting Restless Bright Dreamy Laid Back,Chasing Medium Smooth Floating Elegant,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,"japan
cafe
no copyright",japan cafe no copyright free to use vlog music vlog style music lofi music streets road people
LoFi Chill (Medium Version),https://pixabay.com/music/beats-lofi-chill-medium-version-159456/,BoDleasons,https://pixabay.com/users/bodleasons-28047609/,1:07,Beats Electronic Alternative Hip Hop Rnb Cafe Intro/Outro,Glamorous Dreamy Laid Back Bright Relaxing,Elegant Floating Smooth Medium,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,"cozy
hip hop
lo fi",cozy hip hop lo fi lofi chill out choppy fashion feel good high-end innovation lo-fi luxury shimmering study travel vlog background lifestyle lunge warm hopeful
Coverless book ( Lofi ),https://pixabay.com/music/beats-coverless-book-lofi-186307/,AmbientAUDIOVISION,https://pixabay.com/users/ambientaudiovision-25188255/,4:24,Beats Electronic Alternative Hip Hop Rnb Cafe,Dreamy Laid Back Bright Relaxing Glamorous,Floating Smooth Elegant Slow Medium,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,lofi lo-fi chill music,lofi lo-fi chill music playlist relaxing slow dreamy song youtube apple
Lofi Chill,https://pixabay.com/music/beats-lofi-chill-140858/,FASSounds,https://pixabay.com/users/fassounds-3433550/,2:04,Beats Alternative Hip Hop Rnb Cafe Electronic,Glamorous Dreamy Laid Back Bright Relaxing Uplifting,Elegant Floating Smooth Medium,Music For Videos Music For Youtube Videos Background Music Vlog Music Podcast Music,"advertising
chill",advertising chill commercial cozy lofi drift edm electro hip-hop hiphop hype lofi lounge romantic shout travel urban vlog
Summer Rain - lofi vibes,https://pixabay.com/music/beats-summer-rain-lofi-vibes-216043/,xethrocc,https://pixabay.com/users/xethrocc-12734491/,5:05,Beats Electronic Alternative Hip Hop Rnb Cafe,Dreamy Laid Back Bright Relaxing,Floating Smooth Medium,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,lofi music chill calm,lofi music chill calm instrumental lofi hiphop melodic dreamy
For a Dream - lofi vibes,https://pixabay.com/music/beats-for-a-dream-lofi-vibes-216038/,xethrocc,https://pixabay.com/users/xethrocc-12734491/,3:49,Beats Electronic Alternative Hip Hop Rnb Cafe,Dreamy Laid Back Hopeful Bright,Elegant Floating Smooth Medium,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,lofi music chill calm,lofi music chill calm instrumental lofi hiphop melodic dreamy
Embrace,https://pixabay.com/music/future-bass-embrace-12278/,ItsWatR,https://pixabay.com/users/itswatr-12344345/,2:59,Future Bass Upbeat Beats Electronic,Uplifting Laid Back Bright Restless Dreamy Energetic Euphoric,Smooth Elegant Heavy & Ponderous Floating Chasing Medium,Music For Youtube Videos Music For Videos Vlog Music Podcast Music,"love
uplifting
happy",love uplifting happy orchestral marching positive optimistic melodic melody groovy beat instrumental drums porter robinson chill cool mood background christmas grinch tiktok spotify lofi intro christmas music
The Weekend,https://pixabay.com/music/upbeat-the-weekend-117427/,chillmore,https://pixabay.com/users/chillmore-25283030/,2:25,Upbeat Electronic Corporate Beautiful Plays,Dreamy Bright Laid Back Restless Energetic Hopeful Uplifting,Running Elegant Smooth Medium Fast Chasing,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music Film Music,"lofi
chill music",lofi chill music chill out music lofi hip hop lofi hiphop chill lofi lofi beats relaxing music study music beat lo fi focus music lofi music chill lofi chill mood beats hip hop relax chillhop
Royalty Free Use Lofi Chill  Background Music Dreamscape,https://pixabay.com/music/beats-royalty-free-use-lofi-chill-background-music-dreamscape-201679/,Lidérc,https://pixabay.com/users/lid%C3%A9rc-34910776/,1:42,Beats Electronic Alternative Hip Hop Rnb Cafe,Glamorous Dreamy Laid Back Bright Hopeful Romantic,Elegant Floating Smooth Medium,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,"free beats
free lofi",free beats free lofi chillmusic lofi music background music purple aesthetic clouds
Spirit Blossom,https://pixabay.com/music/beats-spirit-blossom-15285/,RomanBelov,https://pixabay.com/users/romanbelov-25347333/,1:48,Beats Alternative Hip Hop Electronic Rnb Beautiful Plays,Laid Back Bright Dreamy Uplifting Hopeful Relaxing,Floating Smooth Medium Elegant,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,"piano
hip hop
lofi",piano hip hop lofi vlog urban city walk beat
WatR - Fluid,https://pixabay.com/music/beats-watr-fluid-10149/,ItsWatR,https://pixabay.com/users/itswatr-12344345/,2:41,Beats Electronic Rnb,Laid Back Bright Uplifting Dreamy,Floating Medium Smooth Chasing,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,"chill
beats
lofi",chill beats lofi vaporwave background sound chords piano beat instrumental keyboard melodic water watr sad minor guitar synth
Let It Go,https://pixabay.com/music/future-bass-let-it-go-12279/,ItsWatR,https://pixabay.com/users/itswatr-12344345/,2:13,Future Bass Electronic Beats Rnb Alternative Hip Hop Drum N Bass,Laid Back Bright Dreamy Uplifting Quirky Restless Energetic,Elegant Heavy & Ponderous Floating Smooth Medium Changing Tempo Fast Running Chasing,Music For Videos Music For Youtube Videos Vlog Music Podcast Music,"music
background
love",music background love dubstep instrumental intro podcast song christmas fireplace drum bas dnb rnb jazz hiphop lofi weird unique drop skrillex virtual riot
Empty mind,https://pixabay.com/music/beats-empty-mind-118973/,Lofi_hour,https://pixabay.com/users/lofi_hour-28600719/,2:55,Beats Electronic Alternative Hip Hop Rnb,Dreamy Laid Back Bright Relaxing Hopeful,Floating Smooth Medium Elegant,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,"lofi
hip hop lol",lofi hip hop lol night lofi lofi chill warm cozy study relax sleepy bettermood moody rain
[FREE] Lofi Type Beat - Evening Stroll 🌇🚶,https://pixabay.com/music/beats-free-lofi-type-beat-evening-stroll-209514/,Nikoo1,https://pixabay.com/users/nikoo1-43792963/,5:18,Beats Electronic Alternative Hip Hop Cafe Rnb,Dreamy Bright Laid Back Hopeful Relaxing,Floating Elegant Smooth Medium,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,lofi chill relax anime,lofi chill relax anime
Aesthetics,https://pixabay.com/music/beats-aesthetics-138637/,SoulProdMusic,https://pixabay.com/users/soulprodmusic-30064790/,2:06,Beats Electronic Alternative Hip Hop Rnb Cafe Beautiful Plays,Laid Back Dreamy Bright Relaxing Hopeful Glamorous Romantic Uplifting,Elegant Smooth Medium Floating,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,"hip hop
lofi
chillhop",hip hop lofi chillhop relax piano beat groove jazzy calm lounge
deep - lofi vibes,https://pixabay.com/music/beats-deep-lofi-vibes-205062/,xethrocc,https://pixabay.com/users/xethrocc-12734491/,3:18,Beats Electronic Alternative Hip Hop Rnb Cafe,Glamorous Dreamy Laid Back Bright Hopeful Restless Uplifting,Elegant Floating Smooth Medium,Music For Videos Music For Youtube Videos Vlog Music Background Music Podcast Music,lofi music chill calm,lofi music chill calm instrumental lofi hiphop melodic dreamy
Sunset Vibes (Lo-Fi/Chillhop),https://pixabay.com/music/beats-sunset-vibes-lo-fichillhop-9503/,,,2:28,Beats Alternative Hip Hop Rnb Acid Jazz,Laid Back Bright Peaceful Relaxing Glamorous Dreamy,Floating Smooth Medium Elegant,Music For Youtube Videos Music For Videos Vlog Music Background Music Podcast Music,"chill
lofi
jazz",chill lofi jazz hip-hop music solo smooth sunset vibes happy beats urban melody sound
